date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-03-16 23:20:00+00:00,-0.001741105411219634,fixed_hold,-0.013928843289757072,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-17 07:25:00+00:00,0.015612618724559046,fixed_hold,0.12490094979647237,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-17 07:25:00+00:00,0.018596473833951188,fixed_hold,0.1487717906716095,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-17 10:25:00+00:00,0.003489891575613913,fixed_hold,0.027919132604911304,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-18 08:30:00+00:00,-0.0076428571428571734,fixed_hold,-0.06114285714285739,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-18 08:30:00+00:00,-0.0038078271959189887,fixed_hold,-0.03046261756735191,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-18 17:10:00+00:00,-0.004311805706817717,fixed_hold,-0.03449444565454174,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-18 17:10:00+00:00,-0.002869668246445522,fixed_hold,-0.022957345971564177,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-19 22:35:00+00:00,0.008686351706036655,fixed_hold,0.06949081364829324,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-20 04:40:00+00:00,0.005643610644929187,fixed_hold,0.045148885159433494,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-20 04:40:00+00:00,0.008988983521570015,fixed_hold,0.07191186817256012,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-20 05:30:00+00:00,0.022790416616057352,fixed_hold,0.18232333292845881,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-21 10:10:00+00:00,-0.003868421052631576,fixed_hold,-0.03094736842105261,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-22 23:55:00+00:00,-0.00029693664423296974,fixed_hold,-0.002375493153863758,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-23 00:00:00+00:00,-0.003129145960938384,fixed_hold,-0.02503316768750707,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-23 07:25:00+00:00,0.0025091787081353294,fixed_hold,0.020073429665082635,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-25 16:40:00+00:00,-0.0005,fixed_hold,-0.004,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-03-26 23:00:00+00:00,0.0004395218588478249,fixed_hold,0.003516174870782599,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-28 10:10:00+00:00,0.013751661003195192,fixed_hold,0.11001328802556154,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-28 10:15:00+00:00,0.017123158963941065,fixed_hold,0.13698527171152852,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-29 07:45:00+00:00,0.00426076172187545,fixed_hold,0.0340860937750036,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-30 08:45:00+00:00,0.002377697841726645,fixed_hold,0.01902158273381316,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-31 18:55:00+00:00,-0.0032426836721404224,fixed_hold,-0.02594146937712338,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-31 23:45:00+00:00,-0.0012038094300620412,fixed_hold,-0.00963047544049633,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-04-01 15:15:00+00:00,-0.015147820593809203,fixed_hold,-0.12118256475047362,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-04-02 02:45:00+00:00,-0.005947470817120604,fixed_hold,-0.04757976653696483,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-04-02 02:45:00+00:00,-0.01368159489110854,fixed_hold,-0.10945275912886832,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-04-03 21:10:00+00:00,0.010816010058675551,fixed_hold,0.08652808046940441,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-04-04 18:05:00+00:00,0.016545454545454585,fixed_hold,0.13236363636363668,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-04-05 02:50:00+00:00,0.001921307506053294,fixed_hold,0.015370460048426352,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-04-05 12:00:00+00:00,0.014450166112956853,fixed_hold,0.11560132890365482,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-04-07 01:40:00+00:00,0.0010585707574543583,fixed_hold,0.008468566059634867,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
